Amostra;Freq;Set Power;SF;BW;Power;Consumption
28;433;22;12;2;21.66;0.139725
28;470;14;7;0;14.73;0.092501
28;470;14;7;2;14.56;0.081921
28;470;14;12;0;14.75;0.092607
28;470;14;12;2;14.75;0.092874
28;470;22;7;0;21.43;0.143228
28;470;22;7;2;21.27;0.126362
28;470;22;12;0;21.42;0.143238
28;470;22;12;2;21.43;0.143654
28;868;14;7;0;14.62;0.092128
28;868;14;7;2;14.45;0.081623
28;868;14;12;0;14.64;0.092253
28;868;14;12;2;14.64;0.09255
28;868;22;7;0;21.93;0.137003
28;868;22;7;2;21.85;0.120931
28;868;22;12;0;21.93;0.13695
28;868;22;12;2;21.93;0.13746
28;915;14;7;0;14.35;0.092262
28;915;14;7;2;14.16;0.081748
28;915;14;12;0;14.36;0.09244
28;915;14;12;2;14.37;0.092706
28;915;22;7;0;22.39;0.141309
28;915;22;7;2;22.28;0.124716
28;915;22;12;0;22.37;0.141312
28;915;22;12;2;22.39;0.14179
28;923;14;7;0;14.27;0.092215
28;923;14;7;2;14.09;0.081686
28;923;14;12;0;14.28;0.092375
28;923;14;12;2;14.29;0.092629
28;923;22;7;0;22.41;0.141043
28;923;22;7;2;22.24;0.124453
28;923;22;12;0;22.39;0.140947
28;923;22;12;2;22.4;0.14157
29;433;14;7;0;14.71;0.089423
29;433;14;7;2;14.53;0.079228
29;433;14;12;0;14.7;0.089543
29;433;14;12;2;14.69;0.089805
29;433;22;7;0;21.79;0.141839
29;433;22;7;2;21.6;0.125257
29;433;22;12;0;21.78;0.141737
29;433;22;12;2;21.77;0.142073
29;470;14;7;0;14.85;0.094117
29;470;14;7;2;14.68;0.083336
29;470;14;12;0;14.84;0.094198
29;470;14;12;2;14.83;0.094514
29;470;22;7;0;21.55;0.145662
29;470;22;7;2;21.36;0.128386
29;470;22;12;0;21.52;0.145431
29;470;22;12;2;21.55;0.145821
29;868;14;7;0;14.8;0.093479
29;868;14;7;2;14.69;0.082866
29;868;14;12;0;14.78;0.093559
29;868;14;12;2;14.79;0.093894
29;868;22;7;0;22.04;0.139951
29;868;22;7;2;21.86;0.123543
29;868;22;12;0;22.03;0.139851
29;868;22;12;2;22.05;0.140273
29;915;14;7;0;14.5;0.093284
29;915;14;7;2;14.32;0.082671
29;915;14;12;0;14.47;0.093397
29;915;14;12;2;14.49;0.093677
29;915;22;7;0;22.48;0.143644
29;915;22;7;2;22.37;0.126757
29;915;22;12;0;22.46;0.143555
29;915;22;12;2;22.48;0.143962
29;923;14;7;0;14.41;0.093186
29;923;14;7;2;14.25;0.08255
29;923;14;12;0;14.39;0.093263
29;923;14;12;2;14.4;0.093569
29;923;22;7;0;22.49;0.143279
29;923;22;7;2;22.39;0.126497
29;923;22;12;0;22.48;0.143041
29;923;22;12;2;22.5;0.143691
