Amostra;Freq;Set Power;SF;BW;Power;Consumption
12;915;14;12;0;13.05;0.088927
12;915;14;12;2;13.05;0.089146
12;915;22;7;0;22.16;0.126555
12;915;22;7;2;22.01;0.111803
12;915;22;12;0;22.15;0.126489
12;915;22;12;2;22.16;0.126876
12;923;14;7;0;12.94;0.089433
12;923;14;7;2;12.77;0.079274
12;923;14;12;0;12.94;0.089614
12;923;14;12;2;12.94;0.089836
12;923;22;7;0;22.1;0.125044
12;923;22;7;2;22;0.110463
12;923;22;12;0;22.09;0.124918
12;923;22;12;2;22.1;0.125366
13;433;14;7;0;14.22;0.084395
13;433;14;7;2;14.1;0.074832
13;433;14;12;0;14.21;0.084609
13;433;14;12;2;14.21;0.084869
13;433;22;7;0;21.65;0.136481
13;433;22;7;2;21.5;0.120452
13;433;22;12;0;21.63;0.136513
13;433;22;12;2;21.63;0.136841
13;470;14;7;0;14.25;0.088224
13;470;14;7;2;14.17;0.078194
13;470;14;12;0;14.24;0.088449
13;470;14;12;2;14.25;0.08868
13;470;22;7;0;21.12;0.136702
13;470;22;7;2;21;0.12072
13;470;22;12;0;21.1;0.136748
13;470;22;12;2;21.1;0.137127
13;868;14;7;0;13.52;0.084634
13;868;14;7;2;13.37;0.075112
13;868;14;12;0;13.51;0.084894
13;868;14;12;2;13.53;0.08511
13;868;22;7;0;21.73;0.132512
13;868;22;7;2;21.56;0.116997
13;868;22;12;0;21.73;0.132461
13;868;22;12;2;21.72;0.132871
13;915;14;7;0;12.76;0.087698
13;915;14;7;2;12.6;0.077792
13;915;14;12;0;12.75;0.087973
13;915;14;12;2;12.75;0.088193
13;915;22;7;0;21.95;0.123943
13;915;22;7;2;21.79;0.109526
13;915;22;12;0;21.95;0.123915
13;915;22;12;2;21.95;0.124317
13;923;14;7;0;12.64;0.088447
13;923;14;7;2;12.54;0.078425
13;923;14;12;0;12.64;0.0887
13;923;14;12;2;12.64;0.088893
13;923;22;7;0;21.89;0.122267
13;923;22;7;2;21.75;0.108055
13;923;22;12;0;21.89;0.122287
13;923;22;12;2;21.88;0.122629
14;433;14;7;0;14.27;0.085245
14;433;14;7;2;14.14;0.075591
14;433;14;12;0;14.27;0.085399
14;433;14;12;2;14.28;0.085666
14;433;22;7;0;21.68;0.137457
14;433;22;7;2;21.52;0.121379
14;433;22;12;0;21.66;0.137563
